LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs)
E01003584,Newham 003B,E09000025,Newham,"8,266",3,"7,984",3,"10,339",4,"19,525",6,"16,778",6,"6,502",2,884,1,"9,292",3
E01003585,Newham 004B,E09000025,Newham,"9,049",3,"9,991",4,"16,672",6,"10,826",4,"16,734",6,"12,929",4,189,1,"9,360",3
E01003586,Newham 003C,E09000025,Newham,"8,043",3,"8,542",3,"13,997",5,"13,749",5,"14,619",5,"9,903",4,533,1,"5,614",2
E01003587,Newham 004C,E09000025,Newham,"9,006",3,"7,185",3,"13,459",5,"16,689",6,"20,770",7,"10,694",4,327,1,"12,674",4
E01003588,Newham 011D,E09000025,Newham,"8,411",3,"7,842",3,"13,610",5,"14,388",5,"15,745",5,"16,889",6,178,1,"8,523",3
E01003589,Newham 011E,E09000025,Newham,"9,696",3,"9,187",3,"17,714",6,"13,973",5,"17,164",6,"13,078",4,279,1,"9,903",4
E01003590,Newham 003D,E09000025,Newham,"4,780",2,"5,199",2,"7,367",3,"15,242",5,"8,297",3,"4,329",2,141,1,"11,015",4
E01003591,Newham 004D,E09000025,Newham,"6,209",2,"6,082",2,"9,930",4,"11,647",4,"17,017",6,"12,623",4,169,1,"4,919",2
E01003592,Newham 022B,E09000025,Newham,"6,110",2,"6,664",3,"9,858",4,"17,032",6,"8,376",3,"7,604",3,638,1,"5,262",2
E01003593,Newham 027D,E09000025,Newham,"6,804",3,"5,747",2,"9,148",3,"15,352",5,"11,666",4,"18,125",6,116,1,"12,566",4
E01003594,Newham 026A,E09000025,Newham,"8,396",3,"7,294",3,"10,944",4,"17,425",6,"15,834",5,"14,186",5,414,1,"10,805",4
E01003595,Newham 026B,E09000025,Newham,"8,140",3,"7,798",3,"11,743",4,"14,765",5,"12,236",4,"18,806",6,523,1,"7,315",3
E01003596,Newham 016B,E09000025,Newham,"10,626",4,"10,897",4,"17,741",6,"15,146",5,"14,816",5,"14,265",5,565,1,"9,934",4
E01003597,Newham 016C,E09000025,Newham,"10,384",4,"8,831",3,"16,627",6,"14,934",5,"20,503",7,"14,915",5,503,1,"10,118",4
E01003598,Newham 021A,E09000025,Newham,"7,435",3,"4,787",2,"9,111",3,"14,886",5,"15,257",5,"21,439",7,472,1,"13,767",5
E01003599,Newham 022C,E09000025,Newham,"7,477",3,"6,616",3,"12,226",4,"12,858",4,"18,841",6,"8,474",3,242,1,"10,402",4
E01003600,Newham 021B,E09000025,Newham,"6,130",2,"6,404",2,"8,377",3,"11,903",4,"12,861",4,"7,198",3,458,1,"10,251",4
E01003601,Newham 028A,E09000025,Newham,"5,153",2,"6,435",2,"8,099",3,"10,925",4,"10,227",4,"3,564",2,836,1,"5,841",2
E01003602,Newham 026C,E09000025,Newham,"10,115",4,"10,752",4,"16,342",5,"16,238",5,"14,787",5,"9,616",3,740,1,"9,342",3
E01003603,Newham 028B,E09000025,Newham,"12,180",4,"11,884",4,"20,361",7,"16,862",6,"20,823",7,"15,918",5,911,1,"6,325",2
E01003604,Newham 031D,E09000025,Newham,"5,642",2,"6,595",3,"10,873",4,"13,001",4,"11,367",4,"5,700",2,368,1,"3,809",2
E01003605,Newham 028C,E09000025,Newham,"8,278",3,"8,848",3,"11,850",4,"12,296",4,"21,128",7,"13,814",5,508,1,"4,918",2
E01003606,Newham 022D,E09000025,Newham,"8,735",3,"10,877",4,"15,465",5,"13,428",5,"21,721",7,"3,952",2,606,1,"6,362",2
E01003607,Newham 026D,E09000025,Newham,"7,786",3,"7,708",3,"11,025",4,"18,773",6,"16,317",5,"8,918",3,299,1,"7,870",3
E01003608,Newham 028D,E09000025,Newham,"11,406",4,"16,380",5,"23,839",8,"20,748",7,"21,145",7,"4,591",2,857,1,"2,758",1
E01003609,Newham 037A,E09000025,Newham,"12,030",4,"11,157",4,"17,989",6,"22,372",7,"15,175",5,"13,828",5,376,1,"18,403",6
E01003611,Newham 037C,E09000025,Newham,"7,348",3,"4,096",2,"8,080",3,"14,751",5,"12,760",4,"23,042",8,970,1,"18,733",6
E01003615,Newham 013C,E09000025,Newham,"9,394",3,"9,222",3,"13,828",5,"19,654",6,"13,118",4,"14,728",5,675,1,"6,979",3
E01003616,Newham 012A,E09000025,Newham,"8,296",3,"9,201",3,"15,157",5,"16,024",5,"12,657",4,"3,557",2,"1,004",1,"8,901",3
E01003617,Newham 012B,E09000025,Newham,"8,005",3,"11,493",4,"18,476",6,"20,988",7,"19,773",7,"1,880",1,427,1,"2,293",1
E01003618,Newham 012C,E09000025,Newham,"9,706",3,"13,549",5,"21,537",7,"21,076",7,"20,513",7,"3,032",1,"1,206",1,"1,509",1
E01003619,Newham 012D,E09000025,Newham,"5,784",2,"7,028",3,"13,081",4,"21,626",7,"7,462",3,"4,435",2,107,1,"4,227",2
E01003621,Newham 023C,E09000025,Newham,"12,000",4,"10,721",4,"20,516",7,"12,543",4,"19,758",7,"19,047",6,732,1,"11,334",4
E01003622,Newham 023D,E09000025,Newham,"6,357",2,"8,216",3,"10,265",4,"11,741",4,"15,669",5,"4,382",2,254,1,"7,508",3
E01003623,Newham 023E,E09000025,Newham,"7,356",3,"8,078",3,"9,989",4,"10,683",4,"14,299",5,"10,267",4,493,1,"11,003",4
E01003624,Newham 024E,E09000025,Newham,"7,229",3,"6,936",3,"9,766",3,"11,690",4,"14,420",5,"10,250",4,651,1,"10,821",4
E01003625,Newham 015A,E09000025,Newham,"8,697",3,"11,454",4,"15,927",5,"15,152",5,"20,492",7,"9,343",3,35,1,"4,547",2
E01003626,Newham 015B,E09000025,Newham,"11,413",4,"14,855",5,"18,345",6,"21,708",7,"15,934",5,"14,963",5,265,1,"5,933",2
E01003627,Newham 015C,E09000025,Newham,"8,805",3,"7,119",3,"14,862",5,"14,705",5,"13,600",5,"14,980",5,785,1,"8,254",3
E01003628,Newham 015D,E09000025,Newham,"13,234",5,"13,158",5,"21,567",7,"20,556",7,"21,156",7,"13,022",4,676,1,"9,288",3
E01003629,Newham 015E,E09000025,Newham,"9,618",3,"9,361",3,"18,936",6,"15,644",5,"21,801",7,"18,265",6,377,1,"2,604",1
E01003630,Newham 021C,E09000025,Newham,"8,101",3,"6,192",2,"10,763",4,"15,813",5,"17,069",6,"9,898",4,909,1,"11,242",4
E01003631,Newham 020A,E09000025,Newham,"9,440",3,"8,342",3,"14,597",5,"16,021",5,"19,105",6,"12,454",4,"1,148",1,"5,105",2
E01003632,Newham 020B,E09000025,Newham,"13,571",5,"13,616",5,"18,661",6,"17,751",6,"23,099",8,"17,568",6,936,1,"9,729",3
E01003633,Newham 020C,E09000025,Newham,"4,440",2,"4,050",2,"4,614",2,"12,117",4,"10,119",4,"8,811",3,248,1,"14,997",5
E01003634,Newham 020D,E09000025,Newham,"7,499",3,"7,763",3,"9,840",3,"12,789",4,"11,823",4,"16,106",5,172,1,"14,540",5
E01003635,Newham 016D,E09000025,Newham,"10,995",4,"12,721",4,"15,608",5,"21,003",7,"23,352",8,"3,021",1,"1,336",1,"9,907",4
E01003636,Newham 020E,E09000025,Newham,"6,945",3,"5,941",2,"11,427",4,"15,824",5,"13,661",5,"3,364",2,829,1,"13,238",5
E01003637,Newham 021D,E09000025,Newham,"12,791",4,"14,933",5,"20,469",7,"22,732",7,"17,011",6,"9,933",4,809,1,"8,112",3
