FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,Shape_Leng,Shape__Are,Shape__Len,5min Bus Accessibility_LONG,Coverage_p,HubDist,Distance,NormDist,Accessibility Index,No Car or vans in household(%),IMD_Rank,IMD_Decile,IMDScore,IMDRank0,IMDDec0,IncScore,IncRank,IncDec,EmpScore,EmpRank,EmpDec,EduScore,EduRank,EduDec,HDDScore,HDDRank,HDDDec,CriScore,CriRank,CriDec,IMD_Shape__Area,IMD_Shape__Length
3426,E01003589,Newham 011E,,541975,184764,51.5439,0.046013,f06d9cee-ec5a-4fcb-ae4d-c57c8c315276,1620.094894,137437.0081,1620.094894,0.046013,25,276.9477176,0.43,0.57,12.785,40.9,9696,3,26.805,9696,3,0.165,9187,3,0.074,17714,6,19.662,13973,5,-0.074,17164,6,0.228,13078,4,349373.8514,2536.428252
3447,E01003616,Newham 012A,,539048,185067,51.5474,0.003952,fe57992a-27f5-4e65-8dbf-2a9f28581f3e,2704.518572,145546.4306,2704.518572,0.003952,54,235.4274628,0.36,0.64,27.32,67,8296,3,29.41,8296,3,0.165,9201,3,0.085,15157,5,16.725,16024,5,0.229,12657,4,0.995,3557,2,376861.7276,3937.716867
3448,E01003618,Newham 012C,,539288,184464,51.5419,0.007173,792f5692-1451-472b-aaa5-129ceeb9f92a,2285.939582,160469.1146,2285.939582,0.007173,71,62.5454918,0.08,0.92,35.96,67,9706,3,26.797,9706,3,0.121,13549,5,0.06,21537,7,10.809,21076,7,-0.291,20513,7,1.064,3032,1,416017.2626,3458.596584
3449,E01003619,Newham 012D,,538893,184114,51.5388,0.001343,6c608c10-48ef-4cc7-9b8b-d278a1cb3e29,3298.231221,254101.4631,3298.231221,0.001343,54,228.2537514,0.35,0.65,27.325,67,5784,2,35.297,5784,2,0.194,7028,3,0.097,13081,4,10.21,21626,7,0.643,7462,3,0.895,4435,2,657869.841,4964.711248
32238,E01034199,Newham 012E,,538888,184896,51.5459,0.001579,6ca27274-1db1-4507-89d1-490b395a6cbf,2089.620825,105587.1947,2089.620825,0.001579,82,150.7700632,0.22,0.78,41.39,67,8005,3,30.044,8005,3,,,,,,,,,,,,,,,,,
32239,E01034200,Newham 012F,,538881,184529,51.5426,0.001334,cb262565-ee95-45f7-b7be-cd16ea6d66a7,1708.859851,127111.9692,1708.859851,0.001334,93,137.6598788,0.2,0.8,46.9,67,8005,3,30.044,8005,3,,,,,,,,,,,,,,,,,
3399,E01003562,Newham 014A,,541271,184571,51.5424,0.035791,088a8714-b38f-42e8-a0f2-a33cafc0b1a8,1946.357483,98370.33146,1946.357483,0.035791,97,105.1969894,0.15,0.85,48.925,41.1,10266,4,25.879,10266,4,0.144,11076,4,0.072,18136,6,18.945,14439,5,-0.536,23882,8,0.16,14172,5,264584.1368,2832.201565
3401,E01003564,Newham 014B,,541277,184340,51.5403,0.035785,74d7b30d-b0f8-430a-83ad-5892e35ce667,1925.478242,108723.5874,1925.478242,0.035785,67,181.3291908,0.27,0.73,33.865,48.3,9354,3,27.393,9354,3,0.162,9503,3,0.092,13914,5,14.044,18130,6,-0.187,18954,6,0.348,11193,4,283755.4015,2844.017596
3402,E01003565,Newham 014C,,541607,184076,51.5378,0.040434,ad01c6cc-e659-4dc6-881d-0a9ceab888a0,1316.243413,90240.8645,1316.243413,0.040434,94,88.42974531,0.12,0.88,47.44,48.3,10503,4,25.412,10503,4,0.158,9768,3,0.064,20488,7,14.138,18040,6,0.121,14175,5,0.209,13336,5,228757.0933,2050.158942
3403,E01003566,Newham 014D,,541316,183997,51.5372,0.036209,c35a7ce5-2cbb-4122-a324-e2880a80a97b,1672.800098,97230.3319,1672.800098,0.036209,90,55.11009442,0.06,0.94,45.47,48.3,7833,3,30.414,7833,3,0.158,9823,3,0.094,13612,5,19.2,14259,5,-0.093,17457,6,0.846,4929,2,255822.3032,2545.451096
