lsoa21cd,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
E01003498,"3","3",4894.469,96416.578,91522.109,166777.86,55592.62,65466.813,38010.5149882056,4894.469,4894.469,35180.641,80941.6955,45761.0545
E01003541,"5","5",2924.852,47962.449,45037.597,92385.143,18477.0286,16728.127,15777.956936827,2924.852,2924.852,7085.251,17684.464,10599.213
E01003540,"5","5",861.412,64856.887,63995.475,142464.925,28492.985,14937.754,28152.1336434015,861.412,861.412,1908.734,59900.138,57991.404
E01003502,"6","6",1640.483,53706.634,52066.151,137191.31,22865.2183333333,19417.032,19145.6141015517,1640.483,1640.483,3947.042,39063.087,35116.045
E01003508,"4","4",827.871,31044.258,30216.387,59250.779,14812.69475,13689.325,13153.2939649831,827.871,827.871,1891.1765,27734.213,25843.0365
E01003604,"4","4",5633.741,57395.957,51762.216,122150.41,30537.6025,29560.356,22763.5769831017,5633.741,5633.741,8049.5475,53025.6575,44976.11
E01003509,"4","4",3130.449,30648.675,27518.226,64858.712,16214.678,15539.794,10288.7862744909,3130.449,3130.449,7017.034,25412.322,18395.288
E01003503,"6","6",50.899,77522.976,77472.077,142421.357,23736.8928333333,14651.0415,27879.5344945412,50.899,50.899,366.287,35179.112,34812.825
E01003517,"8","8",284.453,90176.405,89891.952,195648.444,24456.0555,6314.5125,31459.3928015289,284.453,284.453,2552.689,43726.5915,41173.9025
E01003516,"6","6",4519.581,52569.871,48050.29,120406.31,20067.7183333333,10944.381,17488.7947420288,4519.581,4519.581,7118.868,34309.228,27190.36
E01003518,"7","7",416.494,59492.666,59076.172,107622.003,15374.5718571429,4768.763,19069.5938423335,416.494,416.494,4223.626,17248.414,13024.788
E01003486,"9","9",635.334,70375.038,69739.704,183275.664,20363.9626666667,6993.528,23804.7009957311,635.334,635.334,2294.26,36152.872,33858.612
E01003483,"4","4",1908.598,22316.497,20407.899,48532.259,12133.06475,12153.582,10168.7446735332,1908.598,1908.598,1964.402,22301.7275,20337.3255
E01003513,"8","8",1838.656,90415.92,88577.264,202746.438,25343.30475,9544.468,29329.0570995138,1838.656,1838.656,4632.2975,41069.1655,36436.868
E01003485,"5","5",3384.098,39114.471,35730.373,65972.102,13194.4204,8776.465,13251.7870521212,3384.098,3384.098,4025.076,10671.992,6646.916
E01034206,"14","14",2530.472,188160.264,185629.792,423945.732,30281.838,13335.872,47066.7478328401,2530.472,2530.472,6350.693,29971.666,23620.973
E01003484,"4","4",485.747,18396.45,17910.703,37233.864,9308.466,9175.8335,8741.59305667951,485.747,485.747,570.585,18046.347,17475.762
E01003512,"5","5",130.728,42128.418,41997.69,84625.358,16925.0716,6521.762,17921.9857849186,130.728,130.728,914.701,34929.749,34015.048
E01003487,"5","5",1495.582,43536.51,42040.928,80052.097,16010.4194,9437.264,15496.3129981288,1495.582,1495.582,3615.819,21966.922,18351.103
E01034209,"7","7",4565.931,36600.385,32034.454,113427.298,16203.8997142857,9847.402,11910.5084193825,4565.931,4565.931,5667.547,25539.243,19871.696
E01034211,"7","7",1959.885,61072.327,59112.442,142386.94,20340.9914285714,2810.602,25032.6151376227,1959.885,1959.885,2480.496,35791.567,33311.071
E01003481,"11","11",2476.497,139430.209,136953.712,339914.16,30901.2872727273,7484.592,44351.4515834436,2476.497,2476.497,5347.0185,27376.25,22029.2315
E01003519,"3","3",4.505,20073.356,20068.851,29889.47,9963.15666666667,9811.609,8193.774878386,4.505,4.505,4908.057,14942.4825,10034.4255
E01003514,"3","3",288.59,11355.808,11067.218,12597.843,4199.281,953.445,5067.70277141119,288.59,288.59,621.0175,6154.6265,5533.609
E01003515,"13","13",0.165,139357.024,139356.859,331590.906,25506.9927692308,11502.469,38228.8035349867,0.165,0.165,4007.981,21423.93,17415.949
E01034208,"3","3",25.049,41519.932,41494.883,70171.511,23390.5036666667,28626.53,17340.0943407361,25.049,25.049,14325.7895,35073.231,20747.4415
E01033584,"3","3",256.184,81640.571,81384.387,111408.137,37136.0456666667,29511.382,33659.631943559,256.184,256.184,14883.783,55575.9765,40692.1935
E01003480,"8","8",2805.748,105873.442,103067.694,267620.975,33452.621875,18273.62,35035.3971247769,2805.748,2805.748,7123.2015,54074.071,46950.8695
E01003506,"7","7",436.419,47183.265,46746.846,94219.84,13459.9771428571,4852.144,15719.6363619508,436.419,436.419,4493.1585,16380.8475,11887.689
E01034212,"6","6",55.03,63801.819,63746.789,105631.964,17605.3273333333,4849.0715,22671.8236883104,55.03,55.03,3582.752,28494.22,24911.468
E01034210,"3","3",130.591,59984.354,59853.763,93712.448,31237.4826666667,33597.503,24492.114490115,130.591,130.591,16864.047,46790.9285,29926.8815
E01003479,"5","5",1370.725,42415.011,41044.286,92421.754,18484.3508,17147.512,14211.4920820607,1370.725,1370.725,7760.631,23727.875,15967.244
E01034207,"4","4",6336.637,45620.07,39283.433,103252.4,25813.1,25647.8465,18034.4015745175,6336.637,6336.637,7858.552,43767.648,35909.096
E01003552,"2","2",1531.443,18946.67,17415.227,20478.113,10239.0565,10239.0565,8707.6135,1531.443,1531.443,1531.443,18946.67,17415.227
E01033581,"17","17",1003.072,188974.647,187971.575,422004.797,24823.8115882353,11152.26,44367.9464994067,1003.072,1003.072,5016.54,17366.909,12350.369
E01003511,"1","1",4028.027,4028.027,0,4028.027,4028.027,4028.027,0,4028.027,4028.027,4028.027,4028.027,0
E01003626,"1","1",1634.866,1634.866,0,1634.866,1634.866,1634.866,0,1634.866,1634.866,1634.866,1634.866,0
E01003599,"1","1",3292.843,3292.843,0,3292.843,3292.843,3292.843,0,3292.843,3292.843,3292.843,3292.843,0
E01034225,"10","10",3464.637,110645.627,107180.99,245569.04,24556.904,11416.5975,32767.8057708234,3464.637,3464.637,4981.181,16142.709,11161.528
E01034229,"4","4",536.382,55881.18,55344.798,105002.849,26250.71225,24292.6435,24128.3290236675,536.382,536.382,2528.629,49972.7955,47444.1665
E01034224,"9","9",1338.248,109606.557,108268.309,297176.643,33019.627,9528.947,41292.9562718795,1338.248,1338.248,6185.734,41439.444,35253.71
E01034227,"3","3",5157.113,21981.552,16824.439,45147.419,15049.1396666667,18008.754,7180.2936183109,5157.113,5157.113,11582.9335,19995.153,8412.2195
E01034226,"2","2",10583.896,10806.558,222.662,21390.454,10695.227,10695.227,111.331,10583.896,10583.896,10583.896,10806.558,222.662
E01034228,"2","2",744.809,15867.453,15122.644,16612.262,8306.131,8306.131,7561.322,744.809,744.809,744.809,15867.453,15122.644
E01003611,"8","8",3241.941,45962.418,42720.477,145049.992,18131.249,7745.72,17083.1604102521,3241.941,3241.941,4596.6555,35580.441,30983.7855
E01034230,"3","3",40.791,23402.111,23361.32,40764.643,13588.2143333333,17321.741,9895.86560349433,40.791,40.791,8681.266,20361.926,11680.66
E01033580,"2","2",6384.842,8007.959,1623.117,14392.801,7196.4005,7196.4005,811.5585,6384.842,6384.842,6384.842,8007.959,1623.117
E01033582,"6","6",1203.624,39458.02,38254.396,95693.707,15948.9511666667,12682.941,13097.8663652428,1203.624,1203.624,4759.096,24907.085,20147.989
E01034231,"2","2",4497.051,20274.431,15777.38,24771.482,12385.741,12385.741,7888.69,4497.051,4497.051,4497.051,20274.431,15777.38
